"term","estimate","std_error","ci_lower","ci_upper","rate_ratio","rr_lower","rr_upper","p_value"
"phasepre_extended",0.011,0.084,-0.154,0.175,1.01,0.86,1.19,"0.900687"
"phasepre_2wk",0.002,0.082,-0.159,0.162,1,0.85,1.18,"0.983962"
"phaseelection_week",0.056,0.114,-0.167,0.279,1.06,0.85,1.32,"0.622216"
"phasepost_2wk",0.046,0.072,-0.096,0.188,1.05,0.91,1.21,"0.522356"
"phasepost_extended",0.025,0.084,-0.141,0.19,1.03,0.87,1.21,"0.769428"
"phase::pre_extended:is_partisan",0.196,0.135,-0.067,0.46,1.22,0.94,1.58,"0.144098"
"phase::pre_2wk:is_partisan",0.437,0.117,0.208,0.666,1.55,1.23,1.95,"0.000181"
"phase::election_week:is_partisan",1.098,0.183,0.74,1.456,3,2.1,4.29,"< 1e-04"
"phase::post_2wk:is_partisan",0.288,0.119,0.054,0.521,1.33,1.06,1.68,"0.015741"
"phase::post_extended:is_partisan",-0.091,0.13,-0.347,0.164,0.91,0.71,1.18,"0.484338"
".theta",0.629,0.023,0.583,0.675,1.88,1.79,1.96,"< 1e-04"
