Word,Total count,Real window share (%),Log ratio,p-value
demoncrats,5616,16.86,0.572,0.0
republicucks,18831,16.42,0.545,0.0
demonrats,16457,16.96,0.578,0.0002
demorats,5522,17.17,0.59,0.0002
democraps,7785,14.53,0.423,0.0003
demotards,1005,17.41,0.604,0.0016
republitards,6214,14.79,0.441,0.0035
demoshits,8539,13.77,0.369,0.017
rethuglicans,1975,14.84,0.444,0.034
demosharts,1150,16.35,0.541,0.0446
demoncraps,1369,12.71,0.289,0.0856
republicunts,5283,12.42,0.266,0.0961
republishits,1650,12.18,0.247,0.177
pedocrats,3577,11.69,0.205,0.2118
democucks,4579,12.16,0.245,0.2253
republikikes,1235,10.69,0.116,0.3093
