group,phase,median_logdev,rate_ratio,q25,q75,n
Non-partisan,Off-cycle,0.01,1.01,-0.0,0.02,721
Non-partisan,Pre-extended (-31 to -18),-0.11,0.9,-0.26,0.06,721
Non-partisan,Pre-2wk (-17 to -4),-0.14,0.87,-0.31,0.03,721
Non-partisan,Election week (±3),-0.32,0.72,-0.55,0.01,721
Non-partisan,Post-2wk (+4 to +17),-0.11,0.9,-0.29,0.08,721
Non-partisan,Post-extended (+18 to +31),-0.05,0.95,-0.21,0.1,721
Partisan,Off-cycle,-0.06,0.94,-0.08,-0.03,16
Partisan,Pre-extended (-31 to -18),0.18,1.2,0.09,0.34,16
Partisan,Pre-2wk (-17 to -4),0.35,1.41,0.17,0.55,16
Partisan,Election week (±3),0.94,2.57,0.86,1.13,16
Partisan,Post-2wk (+4 to +17),0.41,1.51,0.25,0.62,16
Partisan,Post-extended (+18 to +31),-0.04,0.96,-0.19,0.06,16
