Word,Total count,Real window share (%),Log ratio,p-value
republicucks,16198,17.62,0.616,0.0
demoncrats,4337,16.28,0.537,0.0
demorats,4266,17.74,0.623,0.0
demoncrat,1858,17.12,0.587,0.0002
demonrats,13307,17.9,0.632,0.0002
democraps,8587,14.21,0.401,0.0006
republicuck,5816,13.86,0.376,0.0008
republitards,5273,15.02,0.456,0.0019
demonrat,5712,15.46,0.485,0.0039
demotards,1097,17.05,0.583,0.004
demorat,1892,15.59,0.494,0.0116
demoshits,6976,13.59,0.356,0.0325
demoshit,2697,13.24,0.33,0.0363
republitard,1887,13.62,0.358,0.0397
rethuglicans,2201,14.63,0.43,0.0402
demosharts,1231,16.33,0.54,0.0477
republicunts,4453,13.11,0.321,0.0591
demoncraps,1517,12.52,0.275,0.0916
pedocrats,2805,10.7,0.117,0.1966
demokikes,1099,11.01,0.146,0.2073
republishits,1913,11.81,0.216,0.2129
pedocrat,1687,11.32,0.174,0.2238
democucks,3576,12.05,0.236,0.2457
republikikes,1360,10.81,0.127,0.2925
republicunt,1584,10.61,0.108,0.3361
democuck,1670,10.84,0.13,0.3578
