from,to
root,Country
Country,hohols
Country,jeets
Country,ziggers
Country,ukips
Country,vatniks
Country,amerimutts
Country,britbongs
Country,europoors
Country,amerifats
Country,turkroaches
Country,vatniggers
Country,pidors
Country,eurocucks
Country,russniggers
Country,westoids
Country,eurofags
Country,slavshits
Country,ameribros
Country,piggers
Country,ukrops
Country,americucks
Country,streetshitters
Country,amerilards
root,Gender
Gender,roasties
Gender,troons
Gender,femboys
Gender,bvlls
Gender,femoids
Gender,numales
Gender,femanons
root,Novel
Novel,incels
Novel,glowniggers
Novel,glowies
Novel,zogbots
Novel,wagies
Novel,coomers
Novel,normalfags
Novel,bugmen
Novel,coalburners
Novel,neckbeard
Novel,weebs
Novel,wageslaves
Novel,wagecucks
Novel,furfags
root,Online
Online,newfags
Online,oldfags
Online,memeflaggots
Online,stormfag
Online,tripfags
Online,groypers
Online,poltards
Online,namefags
Online,samefags
Online,starmers
Online,flaggots
root,Other
Other,poorfags
Other,rapefugees
Other,zoomies
Other,landwhales
root,Party/Ideology
Party/Ideology,libtards
Party/Ideology,cuckservatives
Party/Ideology,libshits
Party/Ideology,leftoids
Party/Ideology,shitlibs
Party/Ideology,leftards
Party/Ideology,libcucks
Party/Ideology,rightoids
root,Race
Race,shitskins
Race,pajeets
Race,sandniggers
Race,dindus
Race,niglets
Race,sheboons
Race,nignogs
Race,poojeets
Race,brownoids
Race,goatfuckers
Race,cumskins
Race,goblinas
Race,castizos
Race,niggerlovers
Race,muttoids
root,Religion
Religion,christcucks
Religion,mudslimes
Religion,muzzies
Religion,mudshits
Religion,christkikes
Religion,christfags
Religion,jooz
root,Stance
Stance,trumptards
Stance,qtards
Stance,migatards
Stance,magatards
Stance,lolbertarians
Stance,miggers
Stance,migapedes
Stance,lolberts
Stance,feminazis
Stance,bernouts
Stance,magapedes
